EIN_value,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
816410366,NO SPECIFIC FORM IS REQUIRED. ALL REQUESTS SHOULD OUTLINE THE SPECIFIC PURPOSE AND TIMELINE.,JOHN BUCKLAND,THERE ARE NO SPECIFIC SUBMISSION DEADLINES,"SCHOLARSHIPS ARE LIMITED TO GRADUATES OF GREENBRIER WEST HIGH SCHOOL. ALL OTHER GRANTS (GOVERNMENTAL, CHARITABLE OR RELIGIOUS) ARE LIMITED TO THE DESIGNATED GEOGRAPHIC AREA OF WESTERN GREENBRIER COUNTY AND SUMMERS COUNTY, WEST VIRGINIA.",no,N/A
260269708,"MUST SUBMIT COMPLETED APPLICATION ALONG WITH ACT/SAT SCORES, OFFICIAL HIGH SCHOOL TRANSCRIPTS AND 300 WORD ESSAY.",THOMAS MICHAEL JENNINGS FOUNDATION,APRIL 14TH,NONE,no,N/A
873810878,THEY SHOULD SUBMIT A FUND REQUESTING LETTER WHICH INCLUDES A DESCRIPTION OF THE ORGANIZATION AND THE INTENDED PURPOSES OF THE FUND.,PENG HE,NONE,NONE,no,N/A
920535709,WRITTEN REQUEST EXPLAINING USE AND PURPOSE OF FUNDS,PROVIDENCE FOUNDATION,BY DECEMBER 15TH OF EACH YEAR PRIOR TO THE ANNUAL MEETING,NONE,no,N/A
815462675,N/A,,,"GRANTS WILL, GENERALLY, ONLY BE MADE TO MEMBERS OF THE COMMUNITY KNOWN TO THE DIRECTORS TO BE IN NEED.",no,N/A
116047540,"MUST PROVE AND STATE THAT THE EXCLUSIVE PURPOSE FOR WHICH MONEY REQUESTED IS FOR CHARITABLE, RELIGIOUS, SCIENTIFIC OR EDUCATIONAL PURPOSES.",JAMES MICHAELS,NONE,NONE,no,N/A
202006253,N/A,NA,N/A,N/A,no,N/A
376055435,"STATEMENT OF PURPOSE, SPECIFIC NEEDS, SPECIFIC BUDGET, PROJECTED BENEFITS & DETAILED PROGRAM.",MARK E STALEY TRUSTEE,NONE,"LIMITED TO PUBLIC CHARITABLE ORGANIZATIONS FOR THE FURTHERANCE OF THEIR SPECIFIED PURPOSES AND THAT, WHERE APPLICABLE, MEETS THE STANDARDS OF CBBB AND/OR NCIB.",no,N/A
472686476,GENERAL DESCRIPTION OF CHARITABLE PURPOSE FOR WHICH FUNDS ARE BEING REQUESTED. AMOUNT OF REQUEST TIMING OF NEED FOR FUNDS.,EARL W COLVARD,OCTOBER 31,NONE,no,N/A
386089457,SEE BELOW,THE HURST FOUNDATION,OCTOBER 1,LETTER DESCRIBING REASON FOR REQUESTING FUNDING AND AMOUNT. CURRENT FINANCIAL STATEMENT & BUDGET. LIST OF DIRECTORS. OTHER SOURCES YOU ARE REQUESTING FUNDING FROM FOR THIS PROJECT. COPY OF TAX EXEMPTION LETTER.,no,N/A
271915360,A LETTER STATING REQUEST FOR FUNDS AND EXPLANATION OF NEED,MARTIN J ORTENZIO,APPLICATIONS ARE ACCEPTED AT ANY TIME,"GRANTS ARE PRIMARILY TO CHARITABLE ORGANIZATIONS THAT CARRY ON COMMUNITY-ORIENTED, EDUCATIONAL OR SPECIAL PURPOSE CHARITABLE ENDEAVORS. THE FOUNDATION EXPECTS TO FUND OTHER CHARITABLE ORGANIZATIONS ENGAGING IN CHARITABLE ACTIVITIES. THE FOUNDATION IS NOT AUTHORIZED UNDER TERMS OF THE TRUST TO MAKE GRANTS TO INDIVIDUALS.",no,N/A
582437841,WRITTEN REQUEST STATING PURPOSE,C PEYTON DAY,NONE,RESTRICTED TO FUNDS AVAILABLE,no,N/A
356030107,GRANT LETTER REQUEST,SARAH BRADLEY,NONE,NONE,no,N/A
640811138,"PROSPECTIVE RECIPIENT'S REQUEST SHOULD INCLUDE ITS NAME & GENERAL PURPOSE, AMOUNT REQUESTED, AND SPECIFIC PURPOSE OF FUNDS",VAUGHAN W MCRAE,NONE,NONE,no,N/A
510181036,letter describing project and budget,Richard Lynn,none,related to goals of foundation including human genetics,no,N/A
363701346,Letter,Leestma Family Foundation,None,None,no,N/A
832886466,NA,CHRIST THE KING HOLDINGS CORPORATIO,NA,NA,no,N/A
746451982,NO STANDARD APPLICATION IS REQUIRED,MARISSA HANSEN,NONE STATED,MUST BE A CURRENT GRADUATING SENIOR FROM EVANSVILLE HIGH SCHOOL,no,N/A
411769917,Standard admission form and recommendations from instructors,Youth or Veterans,January,Most scholarships are $2000 for college and $500 for trade school,no,N/A
352049784,THERE IS NO FORMAL APPLICATION PROCESS,THE EDGAR ROBERTA MULZER FOUNDATION,NONE,NONE,no,N/A
760464978,WRITTEN REQUEST,HARRIET R FOSTER,NONE,NONE,no,N/A
650258064,CHARITABLE APPLICATIONS SHOULD BE IN WRITING AND SHOULD INCLUDE A DESCRIPTION OF THE CHARITY,LARA PURCHASE CO LAMAR COMPANIES,NONE,NONE,no,N/A
810405790,APPLICATIONS SHOULD BE SUBMITTED USING THE PRESCRIBED SCHOLARSHIP APPLICATION FORM.,THE BOB MORAN MEMORIAL SCHOLARSHIP,SCHOLARSHIP DEADLINES ARE EACH APRIL. THERE ARE NO DEADLINES FOR GRANT REQUESTS.,"ELIGIBLE CANDIDATES FOR THE BOB MORAN MEMORIAL SCHOLARSHIP MUST BE HIGH SCHOOL SENIORS RESIDING IN CARBON COUNTY AND PLANNING TO ENROLL IN A POST-SECONDARY EDUCATIONAL PROGRAM TO STUDY LANGUAGE, CULTURE, HISTORY, OR THE ARTS INCLUDING CULINARY OR TECHNICAL ARTS.",no,N/A
271443518,APPLICATIONS TO BE SUBMITTED IN WRITING.,ANDREW J JONES,NO,NO,no,N/A
201907993,Letter explaining tax exempt purpose and 501(c)(3) exemption letter.,NANCY HEISS,None,None,no,N/A
541448945,VARIABLE,THE COSGIVE FOUNDATION,NONE,NONE,no,N/A
886650516,N/A,RONALD DOUGLAS MURPHY,N/A,"THE FOUNDATION MAY MAKE QUALIFYING DISTRIBUTIONS DIRECTLY TO ORGANIZATIONS WHICH QUALIFY AS EXEMPT UNDER SECTION 501(C)(3) AND 509(A)(2) OF THE INTERNAL REVENUE CODE (L.R.C.) OR CORRESPONDING SECTION OF ANY FUTURE FEDERAL TAX CODE. THE FOUNDATION MAY ALSO MAKE DISTRIBUTIONS FOR CHARITABLE, SCIENTIFIC, LITERARY AND EDUCATIONAL PURPOSES AND THE PREVENTION OF CRUELTY TO CHILDREN OR ANIMALS, AS SUCH TERMS HAVE BEEN AND SHALL BE DEFINED UNDER SECTIONS 170(C), 501(C)(3), 2055(A) AND 2522(A) OF THE I.R.C.",no,N/A
046885196,LETTER REQUEST WITH ANY RELEVANT SUPPORTING DOCUMENTATION.,ROSE-ANNE B FRANO,NONE,NONE,no,N/A
860397278,NO SPECIAL FORMAT,JAMES BABBITT THE BABBITT BROTHERS,NONE,NONE,no,N/A
823395369,N/A,PETER CIARROCCHI JR,N/A,N/A,no,N/A
841994814,All relevant information,Holly Cherry,None,None,no,N/A
461607779,N/A,W ELLIOTT BURKLAND,NONE,NONE,no,N/A
336017847,THE FOLLOWING SHOULD BE SUBMITTED: 1) COPIES OF ORGANIZATIONAL DOCUMENTS 2) 501(C) STATUS 3) MISSION STATEMENT 4) FINANCIAL STATEMENTS 5) WRITTEN REQUEST,PAUL STODDARD,MAY 15TH & NOVEMBER 15TH,INLAND EMPIRE GEOGRAPHICAL AREA,no,N/A
311533046,PLEASE CONTACT THE FOUNDATION,ANNEMARIE HENKEL,NONE,"FOUNDATION'S FOCUS IS ON CIVIC & ARTS PROGRAMS, FAITH- BASED PROGRAMS, HOMELESS/POVERTY PROGRAMS, MEDICAL & HEALTH ORGANIZATIONS, PROGRAMS FOR PEOPLE WITH SPECIAL NEEDS AND THEIR FAMILIES, SPORTS AND YOUTH DEVELOPMENT PROGRAMS, AND VETERANS.",no,N/A
382525817,APPLICATION FOMRS AND INFORMATION ARE AVAILABLE AT THE ABOVE LOCATION.,THOMAS H BLASKE,MARCH 15,"SCHOLARSHIPS FOR COLLEGIATE STUDY FOR GRADUATES OF BATTLE CREEK CENTRAL, ST. PHILIP, AND NILES HIGH SCHOOLS.",no,N/A
310653526,PLEASE REFER TO THE WEBSITE: HTTP://IGNITEPHILANTHROPY.COM/GRANT-SEEKERS/LOUISE-TAFT-SEMPLE-FOUNDATION/ FOR SPECIFIC GRANT GUIDELINES AND DEADLINES,TERESA HOELLE IGNITE PHILANTHROPY,WEBSITE: HTTP://IGNITEPHILANTHROPY.COM/GRANT-SEEKERS/LOUISE-TAFT-SEMPLE-FOUNDATION/,PLEASE REFER TO THE WEBSITE: HTTP://IGNITEPHILANTHROPY.COM/GRANT-SEEKERS/LOUISE-TAFT-SEMPLE-FOUNDATION/ FOR SPECIFIC GRANT GUIDELINES AND DEADLINES,no,N/A
066026054,SEE ATTACHED STATEMENT,AMY LYNCH - BANK OF AMERICA,SEE ATTACHED STATEMENT,SEE ATTACHED STATEMENT,no,N/A
756234715,"A FINANCIAL AID FORM SHOULD BE FILED WITH THE STUDENT FINANCIAL AID AT TARLETON STATE UNIVERSITY. INCLUDE IN THE COMMENTS SECTION ""FOR CHAMBERLIN SCHOLARSHIP CONSIDERATION"".",TRACY KING TARLETON STATE UNIVERSIT,DEADLINE FOR SUBMISSION IS APRIL 15TH. GRANTS ARE AWARDED AFTER JUNE 15TH.,"7 UNDERGRADUATE AND 7 GRADUATE SCHOLARSHIPS AWARDED TO NEEDY ERATH COUNTY, TEXAS HIGH SCHOOL GRADUATES AND TARLETON STATE UNIVERSITY STUDENTS. TARLETON STATE UNIVERSITY STUDENTS, WHO ARE ERATH COUNTY RESIDENTS, WILL BE CONSIDERED FIRST.",no,N/A
223556389,COMPLETED PROPOSAL PROVIDING FOR INTENDED DONEES AND A FINANCIAL AND NARRATIVE HISTORY OF INTENDED DONEE,BERNARD R MILLER,NONE,NONE,no,N/A
367687794,NO FORMAL FORMS,JOHN AND DIANE O'DONNELL,NO SUBMISSION DEADLINES,NO RESTRICTIONS EXCEPT ORGANIZATIONS MUST BE QUALIFIED 501 (C) (3) ORGS,no,N/A
431558297,"WRITTEN GRANT APPLICATION FORM WITH THE FOLLOWING MANDATORY ATTACHMENTS: 1.COPY OF ORGANIZATIONS GOVERNING BODY APPROVAL OF THE APPLICATION. 2. CURRENT COPY OF IRS LETTER STATING ORGANIZATION IS TAX EXEMPT UNDER 501(C)(3) OR AN EXPLANATION, IF ORGANIZATION IS A GOVERNMENT ENTITY AND AUTOMATICALLY TAX EXEMPT. 3.TWO BIDS FOR EQUIPMENT, LABOR COSTS, OR OTHER ITEMS PROPOSED FOR PURCHASE.",COMMERCIAL TRUST COMPANY,APPLICATIONS ARE ACCEPTED AT ANY TIME.,APPLICATION WILL NOT BE CONSIDERED IF: 1. PROJECT HAS ALREADY BEEN COMPLETED. 2. THE REQUEST IS FOR ONGOING OPERATING EXPENSES. 3. IT IS NOT LOCATED IN OR SERVING THE FAYETTE COMMUNITY. 4. IT DOES NOT EXPLAIN THE APPLICATION ISSUES AS IT APPLIES TO SERVICES/PROGRAMS THE ORGANIZATION PROVIDES. 5. MANDATORY ATTACHMENTS ARE NOT ATTACHED TO THE APPLICATION.,no,N/A
363487518,Applications should be in writing and include a history of the organization.,Kay S Grossman,No submission deadlines.,"Restricted to religious, educational, civil rights and health research organizations.",no,N/A
411957943,NO SPECIFIC FORMAT REQUIRED,JAMES R OR DIANE M MCCARTHY,NO SPECIFIC DEADLINES,NO SPECIFIC RESTRICTIONS,no,N/A
136146654,no application form,JPMorgan Chase Bank NA C Berozsky,none,limited to IRC Section 501 C 3 organization chosen by the trustee,no,N/A
566271497,"Online Appl. Offical Tran SAT/ACT Scores for applicants who are high school seniors if taken FAFSA, W8 or W9",CSA,January 18TH,"Be high school senior or current undergraduate, be in good academic standing, reside outside the city limits of Elizabeth City, NC and within Pasquotank County, NC.",no,N/A
363718847,SEE ATTACHED,DR THOMAS KUBISZYN,SEE ATTACHED,SEE ATTACHED,no,N/A
463980009,INDIVIDUALS AND SERVICE ORGANIZATIONS DRAFT A PROPOSAL AND OUTLINE HOW THEY WILL USE ANY GRANTED FUNDS.,JOHN C COLEMAN,NO SUBMISSION DEADLINES.,"PRIMARILY, BUT NOT LIMITED TO, ALABAMA. THE FOUNDATION PROVIDES ACADEMIC SCHOLARSHIPS TO THE CHILDREN, GRANDCHILDREN, OR DEPENDENTS OF ASSOCIATES WORKING WITH COLEMAN WORLD GROUP AND/OR ITS AFFILIATES. THE FOUNDATION ALSO PROVIDES FUNDING TO SERVICE ORGANIZATIONS IN AND AROUND THE STATE OF ALABAMA.",no,N/A
311709120,LETTERS OF RECOMMENDATIONS AND DESCRIPTIONS OF ACTIVITIES,LYNN GETTENBERG,NONE,NONE,no,N/A
010939828,IN WRITING,Richard Agee,NONE,NONE,no,N/A
383465904,"GRANT APPLICATION FORM MADE AVAILABLE VIA THE FOUNDATION'S WEBSITE. APPLICATIONS TO INCLUDE EXECUTIVE SUMMARY GRANT PURPOSE, EXPECTED RESULTS, GRANT BUDGET, AND ENTITY BACKGROUND INFORMATION.",JAMES A AND FAITH KNIGHT FOUNDATION,OCTOBER 31ST,"GRANT PRIORITIES INCLUDE WOMEN AND GIRLS' NEEDS, ANIMALS AND ECOLOGICAL ISSUES, AND EFFORTS IMPACTING INTERNAL CAPACITY.",no,N/A
821342410,N/A,,,,no,N/A
461562521,NONE,DONA SCOTT,NONE,NONE,no,N/A
844321978,LETTER OR EMAIL,ELIAS OCASIO,N/A,N/A,no,N/A
946618012,"THE APPLICATION FOR THIS SCHOLARSHIP CAN BE OBTAINED FROM THE BANK OF STOCKTON. THE APPLICATION NEEDS TO INCLUDE THE NAME OF THE APPLICANT, THE NAMES OF HIS OR HER PARENTS AS WELL AS THE STUDENT'S PRIOR EDUCATIONAL EXPERIENCE AND GRADES. ALSO REQIRED ARE THE NAMES AND AMOUNTS OF OTHER GRANTS AND SCHOLARSHIPS APPLIED FOR BY THE STUDENT.",JULIE M WATTS VP CLIENT MANAGER CAR,"APPLICATION PERIOD JANUARY 1 TO APRIL 30, DEADLINE MAY 1",THE LOANS HAVE A PRESET MAXIMUM LIMIT WHICH IS SET BY THE BOARD OF DIRECTORS EACH YEAR.,no,N/A
300093017,BY LETTER WITH INFORMATION INDLUDING USE OF THE GIFT.,TED GROVER,None,None,no,N/A
262667384,"UNSOLICITED GRANT APPLICATIONS ARE NOT ACCEPTED; HOWEVER, CONCEPT PAPERS OF 2-3 PAGES ARE REVIEWED. INCLUDE PROGRAM DESCRIPTION AND BACKGROUND INFORMATION ON ORGANIZATION.",JAMES SHEPARD,NONE,NONE,no,N/A
136794686,WRITTEN APPLICATION WITH PROPOSAL AND BUDGET FOR MEDICAL RESEARCH,JPMORGAN CHASE ATTN SARAH RUBIN,NONE,AWARDS ARE GIVEN FOR OPTHALMOLOGICAL RESEARCH,no,N/A
351570077,"GRANT APPLICATION MUST BE SUBMITTED IN WRITING ON OFFICIAL GRANT REQUEST FORM PROVIDED. APPLICATION MUST INCLUDE PROOF OF 501(C)3 STATUS, ORGANIZATION NAME, ADDRESS, PHONE NUMBER, CONTACT PERSON, AMOUNT REQUESTED, SPECIFICS REGARDING GRANT GOALS/OBJECTIVES AND USE, A COPY OF THE ORGANIZATION BUDGET, IMPLEMENTATION PLAN, GRANT IMPLEMENTATION DATE, AND SPECIFIC DETAILS REGARDING GRANT USE. GRANT RECEPIENTS ARE REQUIRED TO SUBMIT A POST GRANT REPORT.",LARRY OTTINGER,NOVEMBER 1,"GRANTS ARE LIMITED IN AMOUNT TO 500-5,000 FOR 501(C)3 ORGANIZATIONS LOCATED IN DELAWARE, HENRY, OR RANDOLPH COUNTIES IN INDIANA. THE GRANTS MUST BE USED TO PROMOTE HEALTH AND WELLNESS, YOUTH PROGRAMS, EDUCATION, OR COMMUNITY BETTERMENT.",no,N/A
256534799,COPY OF APPLICATION PROVIDED UPON REQUEST. AVAILABLE ONLINE _s://learnmore.scholarsapply.org/bernowski/,MARNE STOVER SCHOLARSHIP AMERICA,"APRIL, ANNUALLY. CHECK WEBSITE","The applicant shall be limited exclusively to public school students of Belle Vernon HS, Charleroi Area HS, and Ringgold HS. Students need, scholarship, and attitude are considered",no,N/A
562615567,SEE ATTACHED,SEE ATTACHED,SEE ATTACHED,SEE ATTACHED,no,N/A
223765255,NO SPECIFIC FORM - HOWEVER AN APPLICATION FORM MAY BE REQUESTED,WILLIAM CARSON AND COUTTS CLARK FOU,NONE,NONE,no,N/A
341838148,NONE SPECIFIED,FLOYD A TROUTEN,N/A,N/A,no,N/A
260158564,"APPLICATIONS ARE OBTAINED FROM BARRON C. HARBIN, DIRECTOR",BARRON C HARBIN,NONE,"EDUCATIONAL SCHOLARSHIPS ARE AWARDED TO CHILDREN OF HARBIN LUMBER COMPANY, INC. EMPLOYEES WHO ARE HIGH SCHOOL SENIORS AND WHO PLAN TO ATTEND AN EDUCATIONAL INSTITUTION.",no,N/A
472655348,"THE MEMORIAL FUND DOES NOT ACCEPT APPLICATIONS FOR SCHOLARSHIP CONSIDERATION. A NOMINATION COMMITTEE COMPRISED OF TWO WINTHROP HIGH SCHOOL STAFF MEMBERS SERVING THREE YEAR TERMS, ACTING INDEPENDENTLY FROM THE BOARD OF DIRECTORS OF THE MEMORIAL FUND, NOMINATE BETWEEN 3 AND 6 STUDENTS FOR RECEIPT OF THE SCHOLARSHIP. AS PART OF THIS NOMINATION, THE NOMINATION COMMITTEE MUST INCLUDE A BRIEF EXPLANATION WITH EACH RECOMMENDATION DESCRIBING WHY THE STUDENT SHOULD BE AWARDED THE SCHOLARSHIP.",JOEL STONETON,NO,"THE SCHOLARSHIP SHALL BE AWARDED TO A STUDENT FROM WINTHROP HIGH SCHOOL WHO EXEMPLIFIES CITIZENSHIP ALTRUISM, AND RESPECT. THE STUDENT SHOULD BE A STUDENT WHO IS COMPASSIONATE, HONEST, HARDWORKING, DILIGENT, AND MOST IMPORTANTLY, KIND-HEARTED.",no,N/A
113297021,NO SPECIFIC FORM OF APPLICATION IS REQUIRED.,STUART SIEGEL,"N/A. APPLICATIONS ARE ACCEPTED AT ANY TIME. ONCE APPROVED, A NOTICE OF DETERMINATION IS SENT.",NONE,no,N/A
366125570,"No required form - Solicitations should include specific plans for the use of grants received, proof of 501(c)(3) status, and financial information regarding the organization.",Esper A Petersen Foundation,No specific deadlines,Any restrictions are determined during the evaluation process.,no,N/A
830643695,NOT APPLICABLE - UNSOLICITED APPLICATIONS NOT ACCEPTED.,DOUGLAS YOUNG,NOT APPLICABLE - UNSOLICITED APPLICATIONS NOT ACCEPTED.,NOT APPLICABLE - UNSOLICITED APPLICATIONS NOT ACCEPTED.,no,N/A
311496488,APPLICATION FORM PROVIDED BY THE FOUNDATION,SCHOLARSHIP APPLICATION,MAY 15,"FULL-TIME UNDERGRADUATE STUDENT; WORK TO PAY PART OF COLLEGE EXPENSES; FINANCIAL NEED; RESIDENT OF WAYNE OR UNION TOWNSHIP; LIMITED TO TUITION, BOOKS & FEES & ON-CAMPUS ROOM & BOARD",no,N/A
264330621,NO REQUIREMENTS,SUSAN FINKELSTEIN,NO REQUIREMENTS,NO RESTRICTIONS OR LIMITATIONS AS DESCRIBED ABOVE,no,N/A
141729561,"Materials required include proof of non profit status, purpose of the grant, and what population will be served.",Mary McClellan Foundation Inc,"Deadlines are determined annually, usually in September for granting prior to year end.",Awards made only to organizations providing medical services which had previously been provided by the Mary McClellan Hospital which served southern Washington County and Northern Rensselear County.,no,N/A
946061512,NONE,NA,NONE,NONE,no,N/A
264733297,"INCLUDES STATEMENTS OF SCOPE, METHOD, AND BUDGET CONCERNING PURPOSE AND USE",ROXANNE SAYLOR,NONE.,YES. ORGANIZATIONS DESCRIBED UNDER IRC SECTION 170 (C) WITH A FOCUS ON ART AND ANIMAL CARE.,no,N/A
260848399,N/A,CHAIM LIPSCHITZ,N/A,N/A,no,N/A
851982972,NONE,DENNIS CHAN,NONE,NONE,no,N/A
824944635,Please see the attached Scholarship guidelines and instructions for scholarship application,Ashley Berglund,None,Please see the Scholarship guidelines.,no,N/A
236266383,N/A,PATRICIA M BULAT VICE PRESIDENT,THERE ARE NO SUBMISSION DEADLINE FOR NEW REQUESTS,ONLY ORGANIZATIONS EXEMPT UNDER IRS SECTION 501(C)(3) WILL BE CONSIDERED.,no,N/A
756085383,LETTER FORM-STATE NEED AND PURPOSE,THOMAS D BARBER,APPLICATIONS ARE ACCEPTED AT ANY TIME,"CHARTIABLE, RELIGIOUS, AND EDUCATIONAL.",no,N/A
134118192,WRITTEN SUMMARY IN LETTER FORM WITH BRIEF DESCRIPTION OF ORGANIZATION AND THEIR FUNDING REQUIREMENTS. MUST INCLUDE COPY OF 501(C)(3).,THE T F DIXON FAMILY FOUNDATION I,REQUESTS MUST BE RECEIVED BY FEBRUARY 28.,ONLY US CHARITIES WITH 501(C)(3). NO FUNDING OUTSIDE USA. NO MATCHING OF US GOVERNMENT FUNDS. NO FUNDS TO INDIVIDUALS.,no,N/A
311574498,"REQUESTS MUST BE SUBMITTED IN WRITING. NO PARTICULAR APPLICATION FORM IS REQUIRED. THE ORGANIZATION MAKING THE REQUEST MUST STATE ITS RELATIONSHIP OR AFFILIATION WITH ANY NATIONAL ORGANIZATION (IF ANY) AND SUPPLY PROOF OF ITS TAX EXEMPT STATUS. IN ADDITION, EACH CHARITABLE REQUEST WILL NEED TO STATE: (1) THE PURPOSE OF THE ORGANIZATION MAKING THE REQUEST (WHY IT WAS FORMED); (2) THE SPECIFIC USE OF THE FUNDS REQUESTED; (3) THE DATE THE FUNDS ARE NEEDED (IF OTHER THAN AT THE TRUST'S DISCRETION).",EBER CHARITABLE TRUST FOUNDATION MA,NONE,NONE,no,N/A
411765302,"FILL OUT APPLICATION ALONG WITH SAT OR ACT SCORES, TRANSCRIPT AND EMPLOYER RECOMMENDATION",KELLY SALSEG,FEBRUARY,APPLICANT MUST BE ARM MEMBERS EMPLOYEE,no,N/A
366104348,Application Forms available upon request,Follett Educational Foundation,May 1st,Grantees are children of Follett Employees with at least 1 year of service.,no,N/A
205861163,www.henrymidland.org,The Henry Foundation,www.henrymidland.org,www.henrymidland.org,no,N/A
900633482,N/A,HARRY E PEDEN III ESQUIRE,NONE,N/A,no,N/A
592628783,WRITTEN ORGANIZATIONAL INFORMATION AND INTENDED USE OF FUNDS.,PATRICIA A CANNON,NONE,FUNDS TO BE USED ONLY FOR CHRISTIAN EVANGELISM.,no,N/A
823197681,N/A,SCHAPERO FAMILY CHARITABLE FOUNDATI,,,no,N/A
462888211,FORMS AVAILABLE ON REQUEST >> PROVIDE FULL DETAILS ON PROPOSED PROJECT AND BENEFIT TO THE FAIR.,MORRILL COUNTY FAIR FOUNDATION,NONE,"EXEMPT ORGANIZATION UNDER 501(C)(3); EXCLUSIVELY FOR CHARITABLE, SCIENTIFIC, RELIGIOUS, LITERARY, OR EDUCATIONAL PURPOSES AND BASED IN BRIDGEPORT, NE OR SURROUNDING COMMUNITIES",no,N/A
631205782,WRITTEN REQUEST,KEN WOOL,THERE ARE NO SUBMISSION DEADLINES.,THERE ARE NO STATED LIMITATIONS ON AWARDS. AWARDS ARE DETERMINED BY THE BOARD BASED ON REVIEW OF THE WRITTEN REQUEST.,no,N/A
046548076,APPLICANTS SHOULD REQUEST APPLICATIONS FROM THE ABOVE OFFICE.,TRUSTEES OF THE IRVING AND NATALIE,NONE,"RECIPIENTS MUST BE RESIDENTS OF COOK COUNTY, GA AND MUST BE A STUDENT WHO INTENDS TO ENROLL OR IS CURENTLY ENROLLED AS A FULL TIME STUDENT IN AN ACCREDITED COLLEGE OR UNIVERSITY QUALIFYING AS AN EDUCATIONAL INSTITUTION UNDER THE INTERNAL REVENUE CODE.",no,N/A
372006472,IN WRITING BY MAIL OR EMAIL ONLY.,LAYNE TAIT,ANYTIME,ONLY PROVIDE GRANTS TO US ORGANIZATIONS.,no,N/A
431475084,"ABSTRACT OR SUMMARY OF PROJECT, SUMMARY OF GOALS AND OR SPECIFIC AIMS PROPOSED PROJECT PERIOD AND SUMMARY OF OUTCOMES MEASURES TO EVALUATE ACHEIVEMENT OF AIMS/GOALS. BUDGET",LIFESTYLE HEALTH RESEARCH CORPORATI,NONE,"NOT TO EXCEED $9,000. RESTRICTED TO NOT-FOR PROFIT ENTITIES",no,N/A
742492469,WRITTEN APPLICATION INCLUDING INTENDED USE OF AND SECURITY FOR ARTIFACTS.,ALEJANDRA CLIFFORD,NONE,ITEMS MUST BE AVAILABLE FOR PUBLIC DISPLAY.,no,N/A
381687120,APPLICATION FORMS AVAILABLE AT ABOVE LOCATION,LORI HILL - COMERICA BANK,APRIL 1,UNDERGRADUATE STUDIES FOR RESIDENTS OF CALHOUN COUNTY,no,N/A
942495402,990 APP,Wing Institute,990 APP,900 APP,no,N/A
263689679,"WRITTEN FORM OUTLINING AMOUNT, PURPOSE AND USE OF FUNDS.",HEROES FOR HOPE,NONE,NONE,no,N/A
140763850,APPLICATIONS MUST BE WRITTEN AND STATE NATURE OF BUSINESS AND HOW GRANT WILL BE UTILIZED,JAMES MACKERER,NONE,GRANTS WILL ONLY BE GIVEN TO ORGANIZATIONS BENEFITTING CHILDREN IN COLUMBIA COUNTY,no,N/A
237043682,"LETTERS ONLY, SUBMITTED WITH MATERIALS DESCRIBING PURPOSE OF ORGANIZATION",MRS NANCY P AYRES,NONE,NONE,no,N/A
421212642,"WAPELLO COUNTY FOUNDATION APPLICATION FOR COMMUNITY AWARDS I. GUIDELINES A. IRS APPROVED, NON-PROFIT ORGANIZATION SERVING THE CITIZENS OF WAPELLO COUNTY MAY APPLY. B. AWARDS WILL BE MADE FOR THE FOLLOWING PURPOSES: 1. MEDICAL CARE AND TREATMENT. 2. CARE OF NEEDY INDIVIDUALS AS RECOMMENDED BY EXISTING AGENCIES. 3. SCIENTIFIC RESEARCH. 4. FACILITIES FOR RECREATION. 5. EDUCATIONAL EFFORTS. 6. PUBLIC PROJECTS FOR COMMUNITY GOOD. C. AWARDS WILL NOT BE MADE FOR THE FOLLOWING PURPOSES. 1. NORMAL ONGOING EXPENSES. 2. RELIGIOUS ACTIVITIES. 3. APPLICATIONS BY INDIVIDUALS. II. APPLICATIONS A. A CONCISE TYPEWRITTEN REQUEST SHOULD INCLUDE THE FOLLOWING ITEMS: 1. ENDORSEMENT OF PROJECT BY GOVERNING BODY OR BOARD. 2. SHORT DESCRIPTION OF PROJECT. 3. PROFILE OF PEOPLE TO BE ASSISTED. 4. BUDGET OF PROJECT. 5. PLAN FOR CONTINUATION OF PROJECT (IF ONGOING). 6. MOST RECENT PROFIT/LOSS STATEMENT AND BALANCE SHEET. 7. NAMES OF ORGANIZATIONS PROVIDING SIMILAR SERVICES. III. FOLLOW-UP. A. AWARDS TO BE RETURNE",WAPELLO COUNTY FOUNDATION,"APPLICATIONS WILL BE ACCEPTED AT SOUTH OTTUMWA SAVINGS BANK, 320 CHURCH STREET, PO BOX 516, OTTUMWA,",GEOGRAPHIC RESTRICTION IS WAPELLO COUNTY AND ITS VICINITY,no,N/A
